0,34.746,1236.7,15.042,49.764,27.388,46.971,36.642,1687.8,22.617,1780.4,22.132,975.14,48.936,2401.8,46.574,1932.8,61.829,2736.8,64.133,2662.2,48.772,2330.7
303,54.113,1633.6,14.769,46.806,27.25,41.274,37.972,1486.6,27.771,1478.2,47.827,1856.6,50.434,1886.3,45.709,1461.8,62.946,2157.2,60.827,1999.3,51.222,1796.1
603,43.291,2204.7,8.6024,56.208,24.9,48.569,33.424,1882.9,24.331,1941.1,43.959,2371.6,50.573,2430.7,35.797,1862.3,63.022,2773.9,57.633,2507.1,42.748,2247.9
903,49.647,2374.1,16.206,87.16,23.424,58.381,38.426,2064.7,20.97,2261.9,40.779,2787.9,54.4,2731.4,41.209,2071.9,62.358,2952.9,58.145,2716.9,47.564,2492
1203,39.888,1618.4,14.375,88.4,21.392,44.534,27.846,1359.6,14.237,1527.9,40.562,1786.5,53.154,2060.1,35.054,1538.5,54.338,2208.7,52.115,1952.3,37.688,1768.3
1503,42.728,1994.8,42.982,1652.8,22.772,54.785,33.351,1664,19.254,1840.2,40.635,2140,48.456,2385,33.144,1784.6,60.216,2403.5,63.213,2334.3,42.844,2139.7
1803,42.596,1500.7,51.378,1905.2,20.154,46.692,32.9,1357.8,23.138,1492.8,42.004,1680.2,48.418,1809.7,33.751,1299.6,54.501,1820.3,59.238,1730.6,39.08,1633.7
2103,35.943,1437.6,39.814,1779.5,22.269,49.546,29.572,1258.9,17.398,1390.8,36.587,1577.8,37.04,1482.2,31.848,1182.2,53.264,1629.9,61.244,1676,35.208,1415
2404,40.152,1639,45.559,1987.1,23.098,51.919,39.842,1350.8,22.048,1513.7,43.625,1739.6,53.409,1889.9,39.212,1390,60.794,1932.6,80.73,1893.7,46.71,1753.3
2703,43.088,1565.2,38.819,1713,23.148,56.369,53.679,1296.2,19.053,1369,47.811,1626,41.501,1386.4,45.687,1110.5,48.071,1427.8,97.361,1781.7,41.435,1290.7
3003,45.001,1316.7,39.76,1434.8,22.306,48.523,81.634,1128.8,18.922,1110.6,53.374,1287,64.151,1282.1,50.853,829.72,52.498,1160.1,120.98,1438.9,52.93,1053.7
3303,64.46,1150.2,34.963,1321.6,20.627,50.963,134.86,1005.9,28.707,1079.2,87.324,1226.2,108.91,1289,105.08,927.91,69.564,1197.7,173.44,1282.9,97.552,1150.7
