0,35.811,1375,40.556,1291.7,44.914,1428.4,38.209,1594,45.495,1313,40.741,1331.8,50.137,1525.2,39.188,1648.1,42.105,1468.2,47.492,2064.6,43.572,1694.6
302,31.16,1434.7,42.869,1336.9,40.071,1518,37.685,1555.8,52.771,1418.6,40.319,1370.7,43.828,1555.3,39.166,1746.1,39.55,1494.5,44.362,2112.9,41.877,1748.2
602,27.989,1286.6,38.054,1220.7,36.069,1356.3,33.593,1420.8,49.777,1308,35.789,1229.1,40.914,1406.4,38.198,1583.5,38.969,1336.3,42.839,1902.3,40.329,1612.8
902,29.901,1616.3,32.592,1489.2,31.257,1653,32.423,1717.6,49.005,1645.8,34.632,1587.4,34.938,1764.7,37.793,2091.8,41.204,1718,41.603,2314.6,37.548,2085.5
1203,31.728,1036,38.237,984.09,38.844,1135.4,36.751,1127,51.516,1198.7,37.719,1151.4,45.025,1216.7,38.968,1400,38.561,1128,42.125,1535.4,41.962,1353.1
1503,23.418,1265.5,26.611,1213.3,25.659,1374,25.732,1315.5,43.155,1300,27.484,1299.1,34.499,1376.1,30.649,1619.8,30.934,1388.1,35.573,1879,32.563,1613.5
1802,36.16,987.73,39.86,948.04,41.194,1094.6,44.195,1012.7,55.444,1128.3,41.737,1116.5,53.552,1190.1,36.793,1421.5,45.109,1099.6,50.959,1446.8,45.146,1217
2102,32.054,1141.4,35.505,1107,41.063,1298.3,35.65,1192.7,51.425,1186.4,36.819,1233.5,45.384,1273.9,44.075,1519.6,42.791,1332,46.977,1742,41.636,1403.4
2402,38.379,1153,38.134,1074.2,42.563,1251.6,40.64,1159.5,54.709,1157.7,44.051,1216.8,45.555,1232.6,36.684,1484.7,47.354,1313.5,53.119,1736.9,41.014,1355.1
2703,55.993,978.83,50.715,891.61,61.406,1046.8,58.888,971.42,60.023,982.81,69.265,1106.1,53.825,1103.3,45.974,1263.7,56.013,1116.2,69.934,1475.5,52.017,1195
3003,85.1,994.45,70.846,907.72,101,1055.6,93.13,962.66,78.511,1033.3,119.39,1099.5,82.68,1099.5,64.196,1273.7,86.272,1142.3,100.96,1493.1,77.838,1279.3
3302,116.58,779.67,107.96,677.25,133.47,839.73,111.85,726.73,105.18,871.5,168.4,935.35,113.88,917.66,77.602,1046.2,110.67,850.32,127.93,1099,98.556,956.86
3602,201.68,1119.8,180.61,967.42,201.15,1138.8,174.22,992.46,158.87,1029.4,266.99,1183.7,166.14,1139.7,130.11,1360.4,151.11,1212.7,179.24,1572.4,154.73,1361.9
3903,255.79,847.93,264.43,752.71,262.02,882.72,215.33,758.95,205.11,827.88,353.84,923.13,230.11,899.15,178.1,1045.4,204.58,919.26,230.14,1154.5,194.04,1001
4203,267.06,918.04,295.42,823.35,263.98,930.19,220.38,816.65,224.44,856.77,402.45,956.16,256.81,945.04,199.66,1187.1,198.22,1009.3,232.17,1269.2,181.05,1075.4
4502,398.35,750.45,498.13,657.12,394.8,760.22,313.02,679.55,314.9,751.12,566.29,808.55,384.24,817.43,306.39,968.98,299.4,844.27,370.17,1040.2,260.78,826.63
4803,447.56,778.85,596.42,685.65,455.56,835.89,377.26,748.77,350.91,722.2,650.91,827.17,442.52,834.68,367.41,1041.7,341.9,896.09,459.51,1137.8,295.25,893.7
5104,575.31,734.7,759.27,619.46,596.16,813.79,517.43,717.79,419.3,690.66,809.16,784.7,538.99,781.5,474.04,1001.3,429.75,870.54,590.69,1064.8,375.93,858.08
5403,669.55,629.48,903.73,527.91,656.22,659.27,588.01,598.52,457.65,558.6,851.69,650.06,586.28,622.29,537.36,828.71,471.27,731.58,684.41,873.17,436.35,757.53
5702,903.31,682.26,1216.1,574.07,858.95,709.31,791.43,649.12,619.4,595.24,1119.8,698.87,827.5,685.36,748.18,910.47,610.42,814.82,905.28,956.51,571.2,817.29
6003,798.79,541.99,1048.7,456.97,703.1,538.27,761.12,542.05,527.43,473.01,913.5,554.25,677.92,543.79,627.12,725.89,539.75,634.49,816.72,759.34,519.37,655.58
6303,981.78,559.19,1319.4,477.65,958.43,627.36,985.72,566.88,715.76,526.77,1147.9,592.62,880.84,604.41,799.65,762.04,694.35,702.19,990.31,778.17,638.55,681.76
6603,944.61,541.97,1306.3,472.16,916.15,620.97,999.11,563.15,764.98,548.37,1148.4,605.05,939.39,633.03,803.86,785.22,700.86,715.17,1002.3,773.16,654.68,706.14
6903,664.74,314.88,858.4,259.12,664.77,364.35,680.57,308.94,377.43,261.64,590.05,301.24,472.95,297.23,319.96,291.7,410.17,377.64,669.81,421.78,426.47,372.64
7202,608.16,271.94,855.4,241.44,693.36,358.89,691.56,265.16,351.35,209.47,558.16,251.72,473.11,232.75,435.37,321.49,457.09,388.67,633.34,368.15,364.15,312.82
7502,787.37,300.7,969.44,236.34,785.16,362.82,873.11,281.1,374.85,205.77,595.88,245.72,508.05,236.24,479.85,317.22,431.36,327.13,646.84,331.34,418.45,316.55
7802,629.78,201.43,870.32,174.72,699.79,270.48,874.52,219.22,381.1,178.15,559.47,198.15,456.7,182.28,470.98,247.53,396.34,257.76,600.55,237.63,471.2,283.14
8103,835.61,311.72,1001.6,244.83,846.38,392.98,1091.3,321.12,391.22,209.13,754.31,290.82,662.03,286.36,632.85,376.93,503.42,399.34,787.58,364.68,539.76,436.97
8402,710.17,193.71,911.93,160.59,780.93,272.18,1031.4,210.21,443.37,179.17,560.86,176.82,487.26,176.85,495.4,238.49,422.9,237.9,720.51,222.72,460.77,260.56
8702,848.35,238.19,1152.2,202.38,853.85,303.38,1321.5,257.19,517.5,217.77,692.27,220.7,603.3,211.92,599.18,282.14,538.54,307.76,898.84,280.67,584.41,340.06
9002,522.31,150.76,789.66,145.78,496.46,179.3,900.36,177.91,317.69,143.27,457.46,149.19,414.17,147.65,386.13,189.94,371.23,216.94,550.68,178.02,385.65,238.04
9302,335.2,105.21,591.58,112.54,357.63,144.64,656.63,128.12,226.46,109.9,265.56,95.092,200.77,63.401,225.09,114.78,320.23,193.08,396.4,139.02,292.34,180.68
9603,215.85,78.666,432.71,92.715,225.12,105.51,427.75,94.618,189.84,98.787,116.4,63.801,177.78,69.798,166.11,86.654,203.4,139.52,264.98,104.67,270.34,173.93
9902,643.59,254.57,1004.9,229.38,684.8,347.24,923.41,214.44,522.46,255.85,546.81,232.07,562.57,236.23,511.47,302.43,468.92,367.96,693.77,270.17,526.04,431.96
10203,378.65,126.12,664.39,117.72,461.03,182.73,568.29,108.97,266.61,129.15,398.92,142.21,349.46,129.33,303.08,145.88,348.71,209.97,517.33,143.89,425.91,247.88
10502,329.8,143.56,547.53,124.68,332.87,172.95,441.09,107.86,248.18,133.7,204.83,103.43,286.93,125.47,232.52,146.11,245.88,204.69,427.81,151.47,352.34,264.93
10802,673.16,197.16,1220.1,160.49,699.89,233.82,971.92,140.45,407.67,168.25,551.01,190.19,546.39,152.99,451.03,194.41,486.95,267.95,865.47,180.2,614.56,304.02
11102,671.53,211.55,1328.8,177.19,593.16,215.72,1046.7,154.74,387.05,169.15,475.64,168.8,429.02,150.3,449.51,197.65,510.1,297.92,996.18,204.82,680.58,344.73
11403,610.03,230.54,1348.6,198.58,661.33,257.95,989.89,164.28,377.98,168.78,461.73,171.91,534.25,174.8,441.88,209.66,495.34,323.21,970.75,206.69,671.56,377.12
11702,314.95,98.32,799.19,104.23,348.74,117.1,511.83,76.71,202.62,85.916,220.13,76.869,279.27,86.874,239.55,100.61,259.91,152.62,530.75,100.9,436.49,203.33
12003,326.71,155.1,817.45,149.76,457.26,222.96,545.69,114.37,283.28,155.18,280.13,131.75,278.78,129.65,267.56,144.82,311.42,238.96,676.35,166.73,442.87,302.83
12304,612.2,201.43,1773.6,200,858.61,322.83,1459.2,187.22,603.82,236.95,689.69,225.87,715.47,234.26,607.25,256.01,662.06,352.62,1401,216.63,809.71,392.99
12603,546.37,209.38,1503.6,184.12,716.34,279.1,1161.9,169.04,434.5,179.65,531.07,171.62,569.62,190.21,491.95,221.66,456.48,279.06,1192.3,202.74,654.1,355.4
12902,364.74,197.19,904.67,168.51,458.98,261.41,744.96,150.32,348.89,176.02,353.39,158.09,391.91,172.25,324.71,196.37,309.47,271.84,760,189.63,393.27,327.24
13202,448.6,161.02,1189.9,133.57,513.01,193.96,805.25,112.32,348.34,140.51,386.58,123.95,412.6,134.15,359.7,147.15,342.68,199.29,880.03,135.52,437.66,228.06
13502,409.29,183.6,1173.8,149.68,433.3,203.93,566.82,107.38,378.24,163.59,417.59,156.34,375.98,150.86,314.63,155.01,314.75,224.25,754.15,147.61,420.63,254.76
13803,191.38,81.684,572.99,77.324,152.95,84.441,233.72,52.828,127.98,76.84,193.53,76.82,122.72,56.805,119,69.748,150.1,105.04,378.39,79.001,175.17,113.14
14102,151.06,101.51,578.11,109.68,140.32,105.68,236.05,69.906,148.7,96.184,198.54,107.21,129.64,73.58,128.22,91.279,127.98,136.22,226.19,87.056,258.83,215.31
14402,321.57,132.66,1534.2,154.76,547.15,210.08,835.29,114.61,395.61,148.24,519.47,175.56,424.34,131.31,311.99,126.93,321.68,202.53,693.4,118.57,566.94,304.99
14703,133.67,69.365,729.02,89.571,316.79,131.86,416.41,70.803,163.61,82.751,232.72,92.164,162.34,62.888,115.14,63.052,142.25,117,273.28,73.487,285.64,166.84
15003,201.26,117.37,649.19,114.76,293.49,166.29,378.41,92.66,150.03,105.66,216.35,119.44,108.36,88.772,158.62,102.78,205.17,174.63,289.71,90.554,263.47,209.62
15303,581.35,226.82,2071.8,200.7,1002.8,356.71,1250.1,167.4,648.82,227.48,700.24,246.81,690.77,211.55,540.07,211.14,592.06,365.73,1500.3,194.75,687.91,385.32
15602,1141.7,330.18,4026.2,275.85,2089.5,576.25,2916,259.88,1689.5,411.73,1694.8,441.93,1757.9,409.53,1451.8,397.02,1257.4,549.47,2979.6,261.22,1195.5,500.39
15903,1228,395.35,4382.9,334.9,2360.1,698.73,3020.9,306.18,1708.4,463.33,1789.4,508.3,1750.1,460.17,1512.7,456.49,1317.8,671.55,3228.5,314.64,1363.2,633.1
16203,1100.8,426.63,4015.3,364.84,2161.9,786.21,2752.3,331.97,1702.9,526,1821.5,573.01,1733.5,531.56,1431.2,531.98,1227.5,740.76,3099.5,354.55,1218.2,705.58
16502,1278.1,316.34,4637.4,272.32,2543.6,620.41,3111.3,252.15,1777.1,427.47,1937.4,465.84,1981.4,431.96,1540.5,389.09,1343.4,555.67,3406.8,263.66,1453.2,540.55
