1,0,0
0,50,303
0,50,603
0,50,904
0,50,1204
0,50,1503
0,50,1803
0,50,2103
0,50,2403
0,50,2704
0,50,3003
0,50,3303
0,50,3603
0,50,3905
0,50,4203
0,50,4504
0.5,50,4804
0,0,5103
0.5,50,5405
0.5,50,5703
0.5,50,6003
0.5,50,6303
0.5,50,6604
0.5,50,6903
0,0,7203
0,0,7504
0,0,7804
0,0,8104
0,0,8403
0.5,0,8703
0,0,9003
0.5,0,9304
0,0,9604
0.5,0,9903
0,0,10203
0.5,0,10503
0.5,0,10803
0.5,0,11103
0.5,0,11403
0.5,0,11704
0.5,0,12003
0.5,0,12303
0.5,0,12603
0.5,0,12903
0,0,13204
0,0,13503
0,0,13803
0,0,14104
0,0,14403
0,0,14703
0.5,0,15003
0,0,15304
0,0,15603
0,50,15903
0,50,16204
0,50,16504
0.5,50,16803
0.5,50,17103
0.5,50,17404
0.5,50,17704
0.5,50,18003
0.5,50,18303
0.5,50,18603
0.5,50,18904
0.5,50,19204
0.5,50,19504
0.5,50,19804
0,0,20103
0.5,0,20404
0.5,0,20703
0.5,0,21004
0.5,0,21303
0.5,0,21603
0.5,0,21903
0.5,0,22204
0.5,0,22503
0.5,0,22803
0.5,0,23104
0.5,0,23404
0.5,0,23704
0.5,0,24003
0.5,0,24304
0,0,24603
0,0,24903
0.5,0,25203
0,0,25504
0.5,0,25803
0.5,0,26103
0,0,26403
0.5,0,26703
0.5,0,27003
0.5,0,27304
0.5,50,27603
0.5,50,27903
0.5,50,28203
0,50,28504
0,50,28803
0,50,29103
0,50,29403
0,50,29703
0,50,30004
0,50,30303
0.5,50,30603
0,0,30903
0.5,50,31204
0.5,0,31504
0.5,0,31803
0.5,0,32104
0.5,0,32403
0.5,0,32704
0.5,0,33003
0,0,33304
0,0,33603
0,0,33903
0,0,34204
0.5,0,34504
0.5,0,34803
0.5,0,35103
0.5,0,35404
0.5,0,35704
0.5,0,36003
0.5,0,36304
0.5,0,36604
0.5,0,36904
0.5,0,37204
0.5,0,37503
0.5,0,37803
0.5,0,38104
0.5,0,38404
0,0,38703
0.5,0,39004
0,0,39303
0.5,0,39603
0,0,39903
0,0,40204
0.5,0,40504
0.5,50,40803
0.5,0,41103
0,50,41403
0,50,41703
0,50,42003
0,50,42304
0,50,42604
0,50,42904
0,50,43203
0,50,43504
0,50,43803
0,0,44104
0.5,0,44403
0.5,0,44704
0.5,0,45003
0.5,0,45304
0.5,0,45604
0,0,45903
0.5,0,46204
0,0,46503
0,0,46803
0.5,0,47104
0.5,0,47404
0,0,47704
0.5,0,48003
0.5,0,48304
0.5,0,48605
0.5,0,48903
0.5,0,49204
0.5,0,49504
0.5,0,49804
0,0,50104
0.5,0,50404
