0,16.671,47.875,16.425,81.472,42.104,1275.4,33.221,1048.1,59.046,1769.2,79.552,1663.1,62.514,2213.2
305,14.247,81.083,18.08,309.8,36.986,1603.5,30.425,1322.8,50.476,2155.2,69.751,1890,64.16,2493.4
604,14.41,60.572,23.598,566.82,29.552,949.57,27.887,928.89,47.245,1481.1,61.353,1367.1,57.582,1772.6
904,15.023,134.08,38.969,1574.2,32.917,1416.4,30.55,1234.2,49.972,1779.9,70.687,1650.4,60.963,2237.1
1204,16.14,274.32,36.948,1718.7,27.319,1467.9,27.703,1290.2,39.954,1874.7,60.026,1678.4,55.135,2163.3
1504,33.701,1336.5,38.415,1851.3,34.515,1684.8,28.294,1418.4,44,2005.4,67.379,1816.8,57.982,2275
1804,56.037,2099.7,45.162,1726.2,34.492,1641.1,31.205,1260.1,50.516,1655.6,74.545,1585,56.048,2085.1
2104,44.434,1491.6,35.684,1210,28.11,1100.4,25.921,905.39,39.368,1233.9,58.645,1184.7,51.13,1522.3
2404,55.098,1675.7,43.458,1479.5,34.166,1443,27.274,1046,42.357,1372.6,63.425,1350.9,52.381,1718.3
2704,47.99,1668.9,40.946,1595.3,34.497,1519.7,23.706,1107.3,39.875,1349.1,65.645,1329.2,49.41,1727.6
3004,42.475,1401.9,41.149,1386.2,29.719,1355.9,24.687,981.44,31.716,1234.1,56.413,1241.4,43.596,1508.9
3304,46.135,1911.2,46.454,2009.5,39.903,2010.7,30.499,1427.1,41.574,1669.5,59.793,1520.1,51.939,1999.5
3604,33.13,1761.6,35.46,1725.4,24.751,1782,17.763,1266.4,25.139,1410.9,49.873,1355.4,38.583,1831.7
3904,42.624,1327.5,50.472,1419,40.516,1404,30.303,956.54,30.87,1140.1,59.143,1181.9,46.922,1479.5
4204,42.749,1546,44.66,1637.5,41.072,1711.7,32.278,1194.6,34.098,1301.2,56.86,1317.6,51.219,1921.6
4504,36.958,1665,39.809,1870.5,32.798,1924,21.508,1363.7,27.142,1473.1,51.88,1481.2,43.004,2100.2
4805,42.518,1354.3,51.165,1623.7,42.076,1611.7,33.377,1102.3,41.233,1242.8,55.657,1248.6,43.61,1793.7
5104,42.755,1357.7,51.456,1631.6,40.657,1595.7,33.537,1181.6,38.268,1323,57.733,1256.2,50.972,1913.2
5404,34.132,906.06,48.257,1140.2,32.395,1151.7,27.86,869.87,30.377,1037.7,51.568,1037,42.209,1432
5704,46.387,1171.1,46.307,1296.5,36.889,1284.4,30.917,967.04,38.109,1157.4,55.976,1123.6,46.141,1611
6004,40.293,1393,46.794,1595.5,39.092,1554.1,29.312,1197.6,29.799,1346.6,53.073,1237.9,46.266,1771.5
6304,36.148,1671.2,43,1812.7,30.183,1770,24.487,1403.3,23.567,1599.9,47.194,1468.3,35.699,2086.3
6604,43.221,1297.9,47.378,1368.9,34.902,1340.8,26.31,1069.4,26.224,1182.5,50.023,1148.7,46.779,1755.3
6904,44.903,1379.9,46.682,1423.2,35.007,1432.5,27.887,1172.9,29.881,1340.7,53.045,1221.8,40.926,1932.4
7204,34.977,1533.8,39.893,1529.2,28.772,1581.8,14.595,1357.1,22.332,1658.9,43.949,1431,35.226,2188.1
7504,49.249,1243.9,48.849,1247.4,36.574,1261,20.957,1070.9,34.404,1278.6,51.914,1146.7,42.542,1872.9
