0,63.229,2243.9,41.103,2085,39.36,1900.1,34.606,1728.4,27.222,1552.9,59.168,2348.8,26.351,70.727,66.824,2444.7,47.781,2191.1,34.153,1552.7
302,50.314,1827.2,35.147,1791.8,37.615,1548,30.794,1445.2,21.803,1267.6,50.231,1955.9,25.887,63.866,56.575,2030.1,39.998,1851.2,29.717,1299.1
602,67.323,2748.7,45.2,2557.2,41.24,2423.4,35.15,2242.4,29.027,1845.5,63.785,2994.9,23.497,76.772,67.074,3161.7,44.065,2643.6,43.431,2072.1
902,61.985,2025.3,47.286,1898.6,45.626,1804.9,36.335,1652.2,31.73,1500.9,57.354,2177.3,22.403,97.741,68.778,2258,48.927,2127.4,44.492,1570.1
1202,53.106,1810.3,37.459,1745.5,33.453,1657.9,31.184,1475.2,25.184,1332.8,54.338,1914.1,25.884,174.5,54.255,2043.1,38.84,1850.4,34.56,1453.7
1502,56.31,1830.2,36.283,1682.3,39.277,1643.1,40.402,1575.3,28.302,1489.6,55.188,2085.5,34.922,733.02,59.962,1920,43.761,2028.9,39.008,1560.5
1803,44.082,2004.5,28.816,1697.1,31.621,1797.3,25.795,1839.5,24.717,1646.7,45.832,2364.6,49.652,1973.7,52.035,2148.5,38.849,2255.5,30.285,1752.8
2103,52.654,1499.3,34.047,1356.3,40.845,1388,30.373,1351.6,31.735,1232.2,47.37,1692.6,56.431,1397.5,62.568,1780.1,42.699,1604.1,37.949,1345.4
2402,54.087,1873.9,34.296,1596.6,43.992,1667.2,28.184,1715.6,25.079,1512.6,54.54,2119.4,58.145,1857.6,63.168,2260.8,44.314,1977.1,40.836,1758.8
2702,50.872,1676.7,35.25,1525.5,36.912,1524,28.396,1585.9,24.456,1327.8,49.065,1885.4,55.196,1652.5,59.876,1946.6,46.442,1910.2,37.193,1615
3002,52.784,1872.7,32.893,1651.1,38.239,1660.7,27.846,1777.7,24.935,1490.9,49.814,2060.6,56.757,1833.5,60.539,2203.5,45.623,2017.3,36.755,1809.3
3303,49.759,1654,33.988,1394.7,32.043,1471.8,26.824,1567.4,23.945,1352.1,45.461,1822,60.641,1628.9,59.618,1939.6,45.039,1743,36.773,1638.2
3603,39.825,1772.1,25.736,1491.2,31.229,1596.7,22.884,1733,20.268,1491.7,42.019,1948.1,50.595,1783.5,49.242,2017.8,37.767,2005.7,31.552,1711.4
3902,46.656,1741.2,30.118,1469.9,32.561,1590.3,28.166,1761.3,24.433,1475.2,50.829,1996.7,55.92,1845.6,60.995,2073.6,48.044,1841.4,34.17,1750.5
4202,43.31,1726.9,24.385,1450.4,28.144,1564.2,24.015,1817.3,21.582,1422.7,45.969,1900.7,54.148,1844,56.895,2036.1,47.789,1887.2,38.245,1831.4
4502,44.746,1762.5,28.032,1520.2,34.658,1658.9,27.514,2000.2,24.586,1469,46.981,2055.4,53.139,2010.6,59.389,2063.1,48.462,1894.9,39.005,1970.5
4802,37.421,1320.5,25.544,1221.7,22.306,1285,21.558,1503.1,23.567,1192.6,41.315,1471.5,47.915,1404.2,51.193,1520.9,44.746,1530.1,31.909,1522.6
5103,42.688,1420.9,26.277,1373.4,34.868,1460.7,28.88,1741.6,22.906,1270.2,44.84,1590.6,52.449,1456.2,51.025,1724.4,49.791,1818.3,38.071,1748.9
5403,32.432,1103.4,22.006,1179.6,28.492,1268.5,24.335,1343.9,20.298,1121.6,39.312,1239.6,42.135,1036.6,40.243,1267.7,35.499,1221.3,32.148,1428.7
5702,35.147,1074.2,17.452,1076.6,30.707,1260.3,25.027,1307.8,22.161,1137.4,36.778,1256.2,42.377,1178.3,49.509,1291.1,38.108,1402.2,33.902,1427.6
6003,36.536,1168,22.889,1186.2,30.384,1104.3,22.057,1179.1,21.209,933.47,37.966,1152.5,40.636,1036.9,45.494,1330,44.562,1251.3,37.748,1461.4
6303,38.987,1741,27.491,1785.9,34.675,1587.4,26.603,1683,26.415,1347.5,41.773,1729.2,42.144,1475.1,44.336,1892,47.423,1952.9,38.578,2153.5
6602,40.138,1466.3,26.729,1509.2,34.58,1516.7,20.09,1266.6,27.488,1224.9,40.972,1548.2,41.116,1217.9,46.273,1634,47.626,1600,36.279,1745.7
6902,29.066,1156,19.004,1290.1,22.964,1207.5,13.499,1103.8,20.683,998.25,32.437,1138.3,32.086,998.42,36.926,1324.5,34.602,1305.4,26.003,1357.9
7202,38.945,1277.5,26.389,1434.2,32.436,1407.7,23.481,1314.6,29.87,1165.9,39.215,1320.4,46.827,1250.5,50.054,1518,42.343,1524,36.67,1679.1
7518,37.246,1739.1,22.813,1750.5,29.904,2016.9,20.755,1693.8,22.684,1428.9,40.937,1781.4,44.483,1670.4,44.673,1986.2,43.646,2005.3,37.08,2403.3
7802,41.767,1531.4,20.106,1573.3,30.647,1882.9,21.896,1320.6,23.126,1066.4,39.16,1526.3,37.496,1288.8,45.682,1759.2,40.393,1741.1,37.232,2038.8
8113,46.249,1481.4,28.399,1569.5,34.249,1808.8,27.421,1587.3,28.163,1113.5,42.959,1450.5,46.014,1443.2,50.017,1711.6,45.857,1766.8,43.999,2129.1
8402,34.758,1523.8,21.664,1542.9,24.134,1752.1,16.852,1359,19.227,825.97,39.548,1462,39.107,1312.4,47.445,1759.4,41.073,1753.6,35.641,2189.2
8703,36.235,1168.7,26.204,1298.4,32.684,1427.2,25.799,1173.6,22.118,763.33,37.811,1132.6,37.105,1022,52.148,1380.6,37.774,1401.4,41.429,1772.1
9003,39.666,1100.7,31.741,1292.9,34.17,1482.6,29.859,1277,32.723,1038.7,43.889,1166.5,44.377,1126.7,51.886,1339.2,45.073,1515.2,47.454,1671.1
9303,44.807,1181,41.495,1311,41.641,1479.9,28.793,1175.5,35.789,1059.5,54.104,1136.9,53.451,1090.9,58.717,1209.6,48.933,1469.1,49.717,1496.6
9602,58.125,1307.2,67.578,1437.5,59.322,1700.7,47.088,1292,47.623,1156,65.781,1293.4,66.712,1186.7,70.922,1367.8,60.759,1571.4,68.982,1663.2
