10417,3407,588.92,4515.9,592.28,5481.6,651.17,3630.3,658.23,4256.9,630.88,3206.9,622.63,2633.3,774.42
10659,4203,602.97,5357,598.94,5755.3,628.8,4154.8,668.86,4720.6,630.2,3633.8,634.68,2788.4,772.6
10898,4065.8,588.82,5264.5,598.03,5420.9,618.37,4150.8,665.27,4661.5,626.71,3663.4,629.64,2818.4,762.17
11139,3900.9,566.15,4967.2,569.67,5484.6,620.08,3982.3,636.24,4439.5,601.14,3579.1,602.41,2804.9,733.57
11379,3927.8,604.43,4840.5,597.31,5525.4,670.9,3939.6,655.96,4297.6,609.97,3575.8,627.84,2773.1,744.97
11619,5079.9,610.71,5611.5,581.6,6328.8,686.48,4336.7,638.51,4727.2,592.75,3991.3,610.13,2845.1,710.01
11858,4774,606.81,5324.8,571.58,6154.8,593.45,4256.6,628.26,4706.1,590.52,3996.5,607.19,2753,688.94
12099,4703.1,595.74,5194.6,570.44,6281.9,602.24,4136.6,624.33,4719.9,590.5,4077.4,605.2,2699.8,666.27
12338,5451.5,606.91,5914,574.92,6649.8,596.99,4526.4,619.46,5180.6,592.31,4526,610.6,2782.7,666.42
12578,5298.7,605.6,5739.4,568.54,8390.3,658.3,4341.8,611.91,4771.2,579.35,4474.8,602.51,2487,635.88
12818,5097.1,594.81,5567.2,564.68,8106,651.92,4200.5,603.37,4992.2,579.01,4470.7,601.5,2552.3,620.65
13058,5668,552.74,6207.7,539.47,7278.9,580.37,4500.9,578.12,5556.3,569.21,4914.7,574.9,3116.1,628.92
13298,4404.8,587.58,5323.1,569.38,7548.7,637.54,3864.7,586.92,4752.6,574.8,4325.1,595.9,2992.5,642.38
13538,5245.2,582.86,6048.1,563.89,7628.9,618.97,4168.5,576.51,5126.5,578.12,4885.3,591.76,3188,637.63
13778,5131,556.16,5874,552.64,8347.4,631.23,4236.3,575.12,5008.6,563.55,4723.1,574.29,3245.2,620.82
14018,4198.7,551.51,5588.3,544.72,8583.7,637.89,3970.7,566.17,4739.7,553.47,4725.8,580.13,3229.2,619.56
14258,5094.2,568.16,6568.5,563.78,9380.9,653.11,4387.8,573.68,4870.7,556.27,5520.8,600.17,3481.7,623.87
14498,4977.2,562.36,6281.7,560.67,9279.1,650.53,4289.7,569.86,4406,542.25,5404.6,601.61,3395.5,611.56
14737,5706.3,558.51,5937,538.9,8298.8,624.78,4152.7,556.03,4776.4,535.31,5344.8,581.77,3355.2,596.17
14978,5510.5,559.94,5881.1,539.12,9254.7,636.22,4024.4,550.22,4812.3,537.71,5407.4,583.61,3283.7,583.63
15219,6355.2,583.83,6552.2,557.33,9078.3,630.9,4180.2,554.13,5188.4,545.52,5752,593.22,3367.1,588.7
15459,6417.9,586.08,6535.4,557.88,7832.2,613.61,4117,548.98,5297,553.75,5734.6,585.41,3432.6,575.97
15698,5876.9,557.27,6037.5,533.69,8280.2,606.82,4104,539.64,5196.3,543.76,5557.4,571.31,3467,566.51
15938,4908.3,570.04,5619.9,541.22,8208.2,608.64,3599.7,534.44,4985.7,546.5,5500.5,578.05,3184.5,555.13
16178,6515.5,588.05,6235.2,543.54,8909.1,628.01,4298.1,553.14,5385.7,547.51,6011.6,584.99,3564.5,568.95
16419,6180.9,589.26,6169,552.94,8731.5,627.33,4404.2,559.25,5381.4,558.37,5878.9,587.1,3671,571.94
16658,5375.4,565.82,5899.4,542.41,8183.3,609.63,4325.1,560.86,5199.7,545.74,5449.7,564.05,3660.6,558.74
16897,6721.6,533.19,7043,534.68,8918.8,600.08,4985.7,553.08,5776.2,537.3,6281.2,555.77,3954,553.39
17138,6382,587.12,6726.6,561.52,8901.6,637.29,5028.8,581.34,5488.4,550.76,6427.3,587.32,3767.8,554.94
