9602,1363.8,286.16,1388.5,325.21,2158.4,359.63,2454.8,336.48,1075.5,392.43,2867.1,486.94,1816.4,388.49,2216.3,627.31,1778.1,361.89,1680.5,396.26
9902,1266.8,260,1302.6,284.85,1766.7,289.03,2274.5,282.12,937.28,315.6,2800.2,422.17,1620.7,328.79,1871.6,507.33,1562.8,302.74,1468.8,338.16
10203,1320.2,326.05,1340.6,332.28,1771.8,360.22,2318.2,377.15,912.52,380.11,2851.9,543.4,1615.4,404.77,1811.7,625.94,1560.4,370.61,1376.8,393.71
10503,1094.9,212.33,1254.8,234.1,1170.6,175.18,1636.2,193.5,827.93,246.53,2573.7,357.98,1762.1,302.14,2212.3,500.05,1785.8,288.98,1388.1,271.66
10802,1346.6,232.24,1444.2,256.67,1541.5,222.99,2112.8,236.53,895.17,260.83,2976.2,392.92,1764.9,298.12,2066.7,478.7,1871.4,290.97,1559.9,289.84
11102,1279.1,228,1427.3,249.96,1248.3,184.86,2167.8,250.82,894.34,264.92,3094.6,422.11,1965.8,329.71,2326.7,525.06,2133.6,323.68,1652.7,302.38
11402,1659.3,320.49,1715,331.89,2595.3,397.51,2924,373.98,1192.5,382.24,3754.8,554.39,2084.7,388.75,2311.7,605.24,2294.2,380.34,1956.9,397.21
11702,1355,278,1511.7,278.58,2280.2,346.69,2334.4,327.87,989.29,313.16,3299,499.34,2015.9,379.82,2075.9,578.6,2217.4,367.13,1734.4,360.52
12002,1464.2,199.66,1813.2,239.28,2856.5,274.25,3000.1,266.7,1213.6,256.05,4024.1,396.7,2547.2,301.64,2660.2,468.63,2665.8,286.37,2168.9,294.05
12302,1228.4,201.88,1765.4,253.9,2714.8,293.8,2652.8,281.93,1189.8,279.82,3790.5,440.19,2635.2,350.48,2485,509.06,2693.2,325.63,2126.3,323.82
12603,1200,190.78,1706.2,248.33,2558.2,275.8,2356.3,260.18,1145.6,273.27,3588.7,427.12,2555.6,339.65,2517.4,503.47,2816.1,332.84,2104,320.05
12902,966.64,163.2,1496.1,214.61,2098.6,219.7,1994.5,211,996.93,214.52,2971.4,342.81,2068.3,275.4,1955.1,393,2322.6,275.94,1737,264.96
13202,1859.1,273.77,1863.2,257.52,2760.1,269.18,2988.4,314.33,1343.1,283.5,3995.1,470.83,2684.1,344.22,2305.3,460.57,2927.7,329.27,2128.7,313.63
13502,1366.4,269.66,1618.9,278.59,2235.1,297.27,2339.8,329.39,1133.4,299.79,3239.4,499.02,2229.7,364.81,1993.1,503.67,2516.8,343.12,1833.8,342.27
13802,1397.4,261,1656.2,256.99,2155.7,256.34,2424.9,316.9,1090.2,273.8,3153.2,468.76,2281.8,336.05,1985.7,462.89,2471.6,312.59,1796.1,310.72
14102,1581.6,243.91,1604.7,225.68,1921.8,193.14,1908.5,216.57,1026.9,222.73,2766.8,384,2058.8,270.99,2090.2,423.32,2496.9,277.29,1700,260.83
14402,1739.8,254.06,1766.3,238.42,2161.9,207.34,2709.2,287.29,1084.7,229.89,2979.5,401.15,2207.6,274.6,2006.8,410.33,2530.9,269.97,1810.8,259.91
14702,1862.4,288.92,1818.9,249.97,1889.4,190.34,2285.1,285.19,1134.8,271.7,2905.5,447.49,2197.9,293.63,2188.1,499.94,2686.4,307.56,1873.3,283.58
15002,1554.2,236.05,1551.6,220.75,1746.6,173.43,1911.7,232.26,963.98,224.49,2450.3,361.23,2036.6,248.9,1851.2,434.39,2370.7,257.53,1599.5,236.44
15303,1591.8,322.99,1653.5,291.89,1848.8,248.99,2457.4,423.11,980.03,321.85,2482.3,518.45,2009.7,339.82,1839.4,626.65,2319.7,348.82,1621.4,321.35
15602,1350.5,273.33,1361.6,236.68,1319.3,177.12,1544.7,260.51,795.18,250.4,1948,412.19,1564.9,264.91,1552.3,527.65,1975.4,297.26,1343.3,271.12
15902,1288.5,340.67,1411.2,311.63,1423.4,268.53,1985.7,453.59,776.99,336.11,2012.8,564.75,1579.4,345.99,1476.9,696.14,1852.8,373.64,1337.8,360.93
16203,1307.3,293.2,1392,265.18,1528.4,232.68,2046.4,407.02,775.4,294.09,1960.8,473.92,1599.5,298.52,1489.8,615.66,1810.2,321,1386.5,326.93
16502,1224.3,274.02,1372.2,255.91,1296.4,210.61,1515.9,298.64,739.65,266.26,1689.4,388.2,1502.9,270.67,1407.9,555.95,1861.7,308.89,1311.6,313.8
16803,1127,321.5,1353.1,307.77,1243.7,260.9,1869.7,486.73,680.88,348.26,1646.5,501.05,1450.3,331.98,1387.3,695.46,1714,363.91,1278.6,401.88
17102,907.36,291.63,1136.1,287.92,865.51,198.11,1144.2,325.92,607.62,323.63,1310.2,420.52,1176.1,307.54,1104.7,625.58,1427.2,324.88,992.33,374.83
17402,728.56,336.98,1027.6,346.41,826.96,271.8,1069,444.86,505.45,387.75,1131.9,520.62,995.43,365.62,908.66,765.5,1119.4,366.91,841.37,457.78
17703,685.09,284.55,1030.7,361.18,945.65,292.44,1281.1,449.54,500.95,366.01,1121.9,481.6,871.16,300.78,890.57,676.11,1042.9,317.85,863.47,429.73
18003,607.03,269.03,941.42,379.18,852.16,301.96,1181.6,444.28,472.45,370.54,987.72,476.09,688.89,261.17,762.9,636.36,1111.7,340.57,755.95,408.44
18303,549.24,355.59,837.44,486.43,674,401.61,810.89,494.05,398.86,466.7,890.17,626.56,741.48,384.65,687.19,878.15,969.79,425.48,645.31,521.19
18602,614.13,357.81,864.16,487.98,698.8,375.5,807.09,432.59,399.17,427.09,912.95,599.19,769.49,362.38,730.09,839.72,1022.7,400.14,710.04,502.19
18902,593.49,416.34,855.45,570.92,699.53,459,768.72,517.56,386.71,515.83,882.43,702.65,777.77,413.2,723.03,1025,1000.3,456.8,729.37,565.52
19202,530.89,346,792.26,536.47,652.27,413.99,701.63,432.36,367.87,432.43,734.65,574.03,690.98,353.79,648.11,873.91,926.22,394.73,641.24,478.45
19502,472.49,406.88,744.47,620,587.49,514.78,613.12,546.05,343.94,531.67,634.02,665.92,603.76,427.47,579.86,1102.7,832.97,454.06,572.35,570.09
19803,493.64,398.05,761.65,620.13,590.45,514.84,613.38,541.75,369.19,499.13,610.26,621.49,620.2,411.6,569.06,1077.4,837.39,449.74,565.54,540.89
20102,455.23,348.65,695.97,558.15,505.3,444.66,493.22,403.8,359.23,409.1,531.32,511.26,539.91,359.45,503.51,929.07,758.02,412.09,503.97,477.34
20402,501.64,412.78,760.64,614.55,561.73,540.82,493.74,508.08,420.57,504.09,648.23,688.72,584.24,433.08,528.33,1159.3,816.75,492.5,542.53,559.45
