4,3697.5,118.72,1593.9,104.09,1632.5,70.789,2039.7,87.698,2748.9,111.91,1658.1,68.492,2107.2,73.191,2093.2,66.192,2908.3,85.737,2629.8,104.62,2412.1,98.425,3566.6,115.9
304,3345.8,130.88,1510.6,119.07,1347.7,89.468,2107.8,105.81,2754.4,120.17,1760.5,80.649,2289.7,88.775,2307.7,81.819,3262.4,98.573,2474.8,122.59,2265.8,120.07,3364.4,135.04
604,3626.8,110.95,1794.6,99.711,2017.9,80.495,2304.4,84.362,3140.5,99.969,1968.3,69.254,2480.5,69.792,2481.8,65.78,3353.5,87.456,2781.5,103.38,2568.8,100.07,3861.7,112.86
900,3303.2,61.674,1499.3,53.675,1870.9,49.314,2206.9,52.817,3029.9,71.94,1624,36.545,2214.3,40.165,2194,38.168,3074.8,54.833,2204.4,55.881,2343.7,62.411,3735.1,78.338
1204,3529.7,93.128,1699.9,82.019,1996.9,84.581,2155.6,78.984,2906.9,95.767,1647.5,65.647,2140,68.943,2137.7,72.808,2756.7,81.453,2672.6,99.474,2607.5,97.935,4165,109.86
1500,3271.7,99.131,1491.1,87.105,1849.6,93.089,2212.1,94.692,3202.3,107.71,1680.4,71.16,2423.1,81.154,2372.1,84.244,3165.8,90.882,2272.7,103.46,2417.1,104.93,3865.2,117.76
1802,3573.7,85.647,2194.7,89.861,2377.7,92.759,2607.4,96.087,3795.6,105.05,2241.5,72.722,2915,87.251,2824.5,87.542,3481.8,82.163,3133.7,106.66,2890.1,99.983,4289.4,102.79
2100,3728.5,116.43,1851.1,100.07,2244.5,120.11,2560.6,126.6,3379.2,126.78,1807.1,89.639,2410.2,106.13,2357.6,107.6,2792.3,106.3,2646.3,121.55,2856.8,129.9,4512.4,131.01
2400,3707.8,99.078,1997.8,89.461,2326.6,115.02,2709,124.37,3897.8,119.61,2339.7,84.304,2897.5,100.5,2778.2,103.5,3410.6,90.414,2782.6,118.16,2864.8,114.67,4352.6,104.56
2700,3582.4,130.96,1888.3,122.51,2201,138.77,2684.3,149.74,3946.8,139.76,2317.2,113.67,2367,120.77,2515.8,126.4,2866.1,112.78,2418.8,136.04,2756,148.49,4084.8,130.33
3000,4268.6,150.31,2490.5,146.77,2695.4,177.94,3017.2,178.57,4129.7,151.02,2435.1,127.1,2848.7,151.48,2674.4,149.86,3158.4,130.12,3263.6,170.86,3348.3,176.11,4816.1,143.52
3300,3657.8,114.53,2001.1,112.65,2307.4,163.45,2664.6,166.75,3979,130.7,2255.2,102.72,2944.2,145.74,2749.7,139.92,3176.9,110.1,2614.1,142.05,2895.2,147.93,4028.4,104.74
3602,4239.3,155.96,2496,158.63,2896.9,204.46,3116.6,197.63,4376.8,155.99,2578.5,139.01,3212.5,171.52,3024.3,178.32,3352.5,147.02,3220.1,185.75,3313.1,186.79,4352.6,142.03
3900,4474.6,151.73,2730.5,168.64,3048.4,219.53,3174.9,210.84,4346,160.15,2411.9,135.97,3215.2,185.44,2993.6,190.28,3338.2,154.98,3549.1,198.38,3540.6,187,4349.1,142.28
4200,3326.1,114.81,2048.4,141.15,2308.6,190.05,2339.1,182.57,3800.9,142.89,2152.9,118.73,2746.3,160.12,2545.3,165.55,2840.7,123.68,2044.1,135.69,2729.3,155.82,3597.4,120.85
4500,4633.1,176.78,3114.3,211.31,3123.6,243.72,3004.2,221.75,4586.1,176.91,2743.4,158.29,3524.5,213.45,3137.4,215.72,3611.9,173.47,3334.4,218.94,3491.8,201.54,4284.1,173.23
4800,4886.4,163.56,3435.2,208.07,3317,240.4,3226.4,234.4,4412.7,164.87,2711.5,158.43,3527.9,212.52,3129,217.19,3573.7,166.23,3672.2,220.87,3739.9,200.87,4404.8,164.48
5100,4388.7,149.28,3079.2,195.32,2972.6,234.56,2603.2,217.1,3570.6,154.34,2163.9,146.98,3090.1,226.09,2697.5,217.08,3077.7,156.02,3494.8,221.49,3207.8,180.44,4003.6,160.16
5400,4742.9,190.38,3280.6,231.89,3211.9,253.19,3429.2,271.94,4252.5,181.74,2694.6,175.87,3714.9,239.79,3256.2,237.37,3782.3,190.91,3789.2,256.06,3673.5,227.86,4018.2,202.02
5700,4554.2,167.13,2564.1,183.14,2972.7,233.61,3159.5,264.3,3665.4,164.1,2285.7,156.72,3127.4,215.3,2861.1,217.3,3344.4,171.74,3402.3,228.31,3187.3,185.47,3759.2,182.38
6000,4715.2,203.96,2919.8,224.41,2753.2,239.82,2959.2,273.88,3353.4,186.92,2118.5,176.06,2887.8,232.26,2507,224.18,2949.3,185.04,3434.4,260.81,3211.7,217.87,3683.4,221.55
6300,4706.9,204.18,2868.9,239.58,2642.6,251.64,3102.9,288.79,3566.6,191.41,2372.8,183.64,3385.7,235.37,2844.5,238.93,3459.5,186.46,3225.6,270.02,3124.2,222.19,3494.3,231.98
6600,5011.8,187.55,3060,237.02,2743.9,253.05,3211.2,302.67,3700.2,192.15,2440,178.89,3398.8,236.09,2729,240.36,3478.1,171.23,3307.4,273.41,3411.6,214.3,3565.2,224.89
6900,4739.2,196.17,2851.9,241.05,2368.9,247.98,2671.1,283.63,3120,197.41,2096.1,187.69,2926.6,229.27,2277.7,232.76,3287.3,180.26,2986.6,277.03,3190.5,221.98,3456.8,250.28
7200,4487.3,184.31,2548.5,240.21,2178,265.58,2407.9,272.93,3100.4,197.22,2160.8,193.53,3276.1,231.03,2503.7,240.03,3708.2,178.19,2811.7,279.35,2945.2,213.71,3234.2,264.69
