0,59.547,1286.6,43.743,1331.8,46.834,1221.3,43.968,1075.9,38.697,1122.7,27.917,1046.9,32.169,947.22,34.542,1328,32.369,1076.6,51.263,1144.9,50.568,1382.8
301,60.774,1492.6,56.567,1785.3,58.416,1732.1,42.17,1228.5,42.947,1435.7,27.407,1316.7,39.866,1146.6,40.508,1610.7,34.674,1231.4,63.11,1375.1,47.163,1562
601,53.276,1576.8,43.264,1920.4,51.581,1814.3,41.321,1340.5,33.347,1523.8,23.833,1383.6,28.94,1228.9,36.92,1791.2,24.915,1424.7,54.677,1565.5,46.432,1772.6
901,56.02,1345.7,51.132,1663.8,57.068,1601.2,39.636,1111.2,40.191,1276.8,25.92,1207.6,37.853,1043.3,37.04,1620.3,33.214,1280,57.463,1475.1,56.083,1484.5
1201,57.869,1476.4,55.712,1858.6,67.497,1745.7,46.002,1229.8,40.795,1482.6,39.621,1448.1,42.949,1181.8,46.079,1824.2,33.975,1342.1,67.282,1597.6,52.946,1784
1501,47.643,1237.9,50.191,1547.6,49.296,1413.2,35.155,1035.3,30.623,1220.8,29.861,1229.1,30.42,1038.9,37.316,1659.7,23.296,1238.9,51.975,1526.5,46.559,1478.8
1801,54.826,1582.2,57.452,2013.4,56.742,1898.7,46.109,1398.1,38.819,1737.5,38.241,1717.6,41.172,1377.1,43.064,2144.7,27.955,1558.7,61.16,1891.9,52.734,2047
2101,46.662,1482.5,42.863,1652.5,46.066,1569.7,35.196,1278.9,33.442,1553.5,28.68,1602.5,30.427,1239.5,34.737,1964.9,22.296,1493.6,53.9,1753.6,48.677,1861.7
2401,42.846,1588.7,46.043,2103.8,46.596,1981.1,30.376,1353.7,29.845,1795,26.164,1801.8,25.376,1351.2,31.604,2133.6,21.344,1664.9,49.85,2084.7,44.211,2077.1
2701,49.103,1679.1,62.923,2197.5,58.587,1945.1,37.292,1395.1,40.714,1806.4,40.977,1748.1,39.044,1388.1,39.51,2044.3,29.04,1793.3,58.424,2123.9,54.714,2121.6
3001,40.707,1090.2,52.414,1469.1,44.131,1211.2,29.202,897.55,31.951,1072.1,29.173,1147.8,25.332,872.1,30.635,1363.1,21.813,1294.9,50.905,1489.2,42.472,1271.2
