0,21.45,1483.1,24.751,1757.6,19.79,1244.4,23.843,1387,22.531,1507.5,28.648,1219.6,67.63,1648.2,53.28,2544.8,33.077,1757.3
301,26.737,1286.2,34.59,1437.5,21.597,1062.7,26.676,1141,31.811,1209.3,31.07,1052.2,75.441,1406.3,58.436,2163.3,39.9,1500
601,31.963,1514.3,33.716,1747.3,25.926,1325.2,33.845,1393.9,37.14,1485.2,30.135,1174.6,78.567,1555.9,57.365,2402.7,40.858,1753.1
901,21.291,1627.4,28.755,1896.5,17.254,1365.2,25.301,1543.5,25.641,1594.7,24.135,1270.2,59.346,1760.1,50.298,2336.8,32.641,1838.3
1201,27.864,1556.8,31.483,1747.9,22.455,1289.2,30.551,1390.1,29.283,1463.4,26.927,1161.2,69.309,1659.5,52.706,2289.2,36.5,1766.7
1501,30.928,1244.9,34.949,1399.2,21.164,1023.8,30.221,1075.4,29.28,1109.1,33.303,941.79,72.074,1391.9,52.868,1886.5,35.346,1475.7
1801,22.024,1725.8,29.132,1921.3,19.357,1453.9,26.331,1532.5,23.428,1619.6,24.133,1305.8,70.368,2110.9,46.923,2443.3,34.921,1979.5
2102,31.196,1154.1,29.253,1276.3,21.928,916.7,27.809,938.25,24.76,934.52,24.201,746.68,65.516,1286.5,41.642,1637.8,37.147,1270.9
2401,31.182,1489.7,29.759,1632,24.237,1248.3,30.357,1282.4,26.103,1297.6,29.607,1058.9,73.176,1761.2,43.51,2165.3,42.954,1789
2701,30.17,1185.4,31.678,1361.1,22.655,985.07,27.752,1025.5,21.721,975.12,25.35,847.09,65.881,1447.4,41.629,1700.6,38.74,1380.1
3001,34.422,1375.1,30.973,1639.6,29.081,1222.3,28.898,1303.7,26.171,1196.7,25.827,1054.9,61.738,1671.6,43.727,2096.4,41.571,1688.2
3301,27.498,1199.4,24.706,1543.6,22.357,1143.1,23.001,1212.4,21.743,1179.5,20.188,992.07,59.322,1523.1,38.299,1851.6,34.176,1536.6
3601,26.176,1709.7,21.344,1827,20.123,1342.8,24.181,1511.7,17.451,1515.5,23.08,1219.4,52.885,1903.8,39.37,2338.5,35.018,1952.8
3901,36.835,1872.8,25.642,1796.7,21.441,1244.3,33.831,1493.3,25.012,1467.1,28.106,1223.8,59.402,1888.4,43.903,2228.9,38.181,1929.8
4201,24.461,1369.2,20.96,1337.4,17.779,925.23,23.047,1045.5,15.203,1063.9,23.696,921.94,54.238,1579.8,48.945,1749.2,38.121,1393.9
4501,26.395,1253.3,13.459,974.98,11.86,679.84,16.16,779.22,14.005,891.41,20.167,888.94,35.866,1099.2,30.157,1289.6,30.307,1113
4801,32.157,1350.1,19.308,1181.6,20.547,825.57,23.551,858.37,16.726,1003,29.183,962.57,43.988,1219.4,39.469,1533.4,32.981,1240.4
5101,18.605,772.91,12.604,892.87,10.664,561.19,8.7281,588.21,5.2227,567.3,9.7573,563.13,38.293,992.85,25.27,915.1,25.316,743.75
5401,30.133,1323.5,18.219,1354,20.726,950.92,19.317,1153.6,18.652,1013,21.33,798.14,53.308,1485,36.142,1509.6,32.698,1249.9
5701,20.361,1042,15.505,1037.8,13.791,751.67,11.875,875.25,11.048,756.27,13.942,580.44,40.8,1107,23.776,1123.3,23.983,925.3
6001,26.901,1154,18.95,1157.9,20.374,804.87,15.587,966.72,18.028,953.51,22.047,800.24,53.174,1415.4,36.669,1396,29.732,1084.7
6301,26.321,1238.7,19.22,1236.1,19.659,925.88,17.787,1101,15.834,986.59,22.103,772.84,51.252,1366.4,38.068,1487.1,32.317,1177.8
6601,24.826,1305.5,18.947,1381.6,18.805,1045.4,17.983,1311.7,15.921,1160.3,19.43,906.32,49.703,1591.9,36.393,1716,28.032,1279
6901,21.505,844.4,18.731,897.2,21.777,692.21,15.398,845.74,10.863,765.8,19.989,628.88,48.633,1129.8,33.292,1096.3,25.918,855.66
